"logFC"	"logCPM"	"PValue"	"FDR"
"TRINITY_DN37647_c0_g3_i1"	-5.60837045849539	6.66588914723985	0.000734894293096973	1
"TRINITY_DN16095_c0_g1_i1"	-5.48533001357882	6.59170114029929	0.00155738097709094	1
"TRINITY_DN87560_c0_g1_i1"	-5.35123481341645	6.51410323983653	0.00251420046184954	1
"TRINITY_DN2890_c0_g1_i1"	-5.48674417600152	6.5928753793178	0.00277559505544665	1
"TRINITY_DN37276_c0_g1_i1"	5.3639107648877	6.51710763169048	0.00287502290217112	1
"TRINITY_DN156507_c0_g1_i1"	-5.35072619390199	6.51350248260312	0.00324794171879893	1
"TRINITY_DN15002_c0_g2_i1"	-5.35072602042652	6.51350248260312	0.00324859327435759	1
"TRINITY_DN843_c0_g1_i2"	-3.39519728547355	6.80429319016179	0.00386836375097281	1
"TRINITY_DN6142_c0_g2_i1"	2.6751337314586	6.93223249193253	0.00435827494420028	1
"TRINITY_DN7176_c0_g1_i3"	-5.48278221206897	6.59052703101091	0.00492369877181681	1
"TRINITY_DN22271_c0_g1_i1"	-5.48843073680406	6.59346254724615	0.00526690248666734	1
"TRINITY_DN30035_c0_g1_i1"	-3.28083874981163	6.73589620033391	0.00544563327120506	1
"TRINITY_DN10549_c0_g1_i1"	-5.34929827800789	6.51290176597287	0.00581414963700804	1
"TRINITY_DN103218_c0_g1_i1"	-5.35331487639765	6.51530487572897	0.00614817572058797	1
"TRINITY_DN24437_c0_g2_i1"	-5.35331963813945	6.51530487572897	0.00616913518739374	1
"TRINITY_DN30559_c0_g1_i1"	-5.35332081892528	6.51530487572897	0.00617434831722755	1
"TRINITY_DN4216_c0_g1_i2"	-5.3533229393148	6.51530487572897	0.00618372551981735	1
"TRINITY_DN10161_c0_g1_i1"	5.3639107648877	6.51710763169048	0.00629696147217846	1
"TRINITY_DN1250_c1_g3_i3"	5.3639107648877	6.51710763169048	0.00629848266088825	1
"TRINITY_DN13768_c0_g1_i1"	5.3639107648877	6.51710763169048	0.00630219464660368	1
"TRINITY_DN8677_c0_g1_i1"	-5.20347143720547	6.43206499895965	0.00633112217822911	1
"TRINITY_DN79202_c0_g1_i1"	-5.20347145007303	6.43206499895965	0.00633125776007631	1
"TRINITY_DN29289_c0_g2_i1"	-5.20347190068712	6.43206499895965	0.00633600852601816	1
"TRINITY_DN25607_c0_g4_i1"	-5.20347213609899	6.43206499895965	0.00633849258841157	1
"TRINITY_DN14190_c1_g2_i1"	5.21579497777628	6.43452592050024	0.00811385595754767	1
"TRINITY_DN18656_c0_g1_i1"	5.21579497777628	6.43452592050024	0.00811386444048269	1
"TRINITY_DN27426_c0_g1_i1"	5.21579497777628	6.43452592050024	0.0081211245089873	1
"TRINITY_DN65295_c0_g1_i1"	-3.15860351868987	6.6664631998081	0.00968783591636076	1
